date,open,high,low,close,volume,amount
2009-05-15,2800.571,2815.456,2773.322,2796.116,6493143100,74973035097.0
2009-05-18,2782.585,2813.757,2740.92,2810.573,7483578600,88479091592.0
2009-05-19,2836.337,2849.629,2821.951,2840.084,9770361700,116543189416.0
2009-05-20,2843.545,2849.635,2812.599,2812.865,8793921500,105146163717.0
2009-05-21,2795.828,2808.287,2735.767,2750.01,8553539400,102875828167.0
2009-05-22,2733.017,2762.741,2719.121,2740.677,6149901200,74407198653.0
2009-05-25,2684.213,2761.387,2675.285,2752.716,7409167100,91048816066.0
2009-05-26,2757.31,2762.809,2718.555,2719.764,7231601200,88894895681.0
2009-05-27,2734.418,2768.568,2715.823,2759.712,6797664500,78602246106.0
2009-06-01,2798.927,2864.471,2798.927,2858.342,10856488300,132967778067.0
2009-06-02,2878.528,2892.781,2855.059,2865.099,10833839700,130131778040.0
2009-06-03,2865.732,2939.387,2864.709,2939.387,11207331000,131606586444.0
2009-06-04,2924.267,2961.04,2899.668,2953.751,13012771000,153770741770.0
2009-06-05,2966.065,2975.175,2937.18,2939.306,10847632400,131347984386.0
2009-06-08,2937.635,2978.233,2912.487,2948.478,9611636600,114538935098.0
2009-06-09,2948.949,2960.902,2892.718,2960.556,9198988600,108747415613.0
2009-06-10,2972.423,2995.699,2966.585,2989.595,10179003900,116455490983.0
2009-06-11,2982.969,3000.857,2951.273,2961.629,8711599700,101890292029.0
2009-06-12,2955.569,2976.864,2883.318,2906.286,8006706700,92135559576.0
2009-06-15,2911.423,2967.099,2898.067,2966.192,7435209000,92689634822.0
2009-06-16,2936.508,2979.413,2929.041,2961.22,7017924200,89928387200.0
2009-06-17,2957.576,3017.409,2930.494,3010.588,7729311800,99945527361.0
2009-06-18,3014.437,3061.747,3014.437,3057.428,9628131600,122777117707.0
2009-06-19,3061.903,3086.72,3047.27,3080.001,10251806900,119434478996.0
2009-06-22,3106.387,3116.155,3072.534,3082.563,10395258300,122685100457.0
2009-06-23,3036.404,3128.527,3028.454,3083.895,11150673400,127094783710.0
2009-06-24,3079.495,3121.207,3068.242,3120.73,10942431300,132431167614.0
2009-06-25,3125.662,3141.166,3103.871,3117.921,8280688700,107706587875.0
2009-06-26,3126.228,3137.082,3109.316,3128.421,7050090800,88663497082.0
2009-06-29,3132.113,3182.415,3122.164,3179.972,8499707500,107539211987.0
2009-06-30,3191.641,3195.716,3159.626,3166.474,8678234700,118926140375.0
2009-07-01,3153.537,3238.792,3150.654,3237.903,9695056500,129830699673.0
2009-07-02,3248.204,3285.093,3247.573,3282.359,11298929400,152594570796.0
2009-07-03,3254.93,3327.669,3249.11,3327.135,10573259200,142531351824.0
2009-07-06,3333.096,3378.055,3333.096,3374.753,13526404900,175857353189.0
2009-07-07,3368.33,3393.224,3327.354,3340.493,12960079900,160450593377.0
2009-07-08,3306.428,3368.066,3261.32,3352.269,11386759200,147303052306.0
2009-07-09,3348.221,3396.483,3334.68,3396.304,11308152300,148249544332.0
2009-07-10,3398.911,3428.029,3375.965,3398.31,10617491200,140745850321.0
2009-07-13,3382.574,3403.74,3358.518,3361.011,9961965100,132301021218.0
2009-07-14,3375.873,3454.753,3375.873,3454.753,10752042500,143258163937.0
2009-07-15,3467.132,3497.508,3467.132,3493.305,13348300200,176773125049.0
2009-07-16,3516.778,3543.019,3489.562,3501.24,12931332900,178974318282.0
2009-07-17,3499.51,3527.465,3482.871,3519.809,10654970400,146140273258.0
2009-07-20,3532.519,3594.872,3515.534,3591.123,13646853900,189689538401.0
2009-07-21,3603.402,3610.326,3533.162,3539.832,13060096100,184934839282.0
2009-07-22,3532.632,3607.371,3532.384,3606.924,11523854600,168877710757.0
2009-07-23,3613.598,3653.837,3596.364,3651.969,11638160900,160980372868.0
2009-07-24,3672.206,3687.493,3591.88,3667.556,12797935200,182205122628.0
2009-07-27,3680.15,3744.242,3669.508,3743.626,13880804000,200824101964.0
2009-07-28,3745.549,3756.782,3705.045,3755.818,14626788500,210479421884.0
2009-07-29,3741.784,3765.59,3453.641,3558.508,16740612600,226560268677.0
2009-07-30,3587.047,3656.922,3511.291,3634.818,13496887900,185493784271.0
2009-07-31,3670.191,3735.804,3635.548,3734.622,13223983400,184431882907.0
2009-08-03,3754.218,3789.935,3716.573,3787.033,13641589900,198440898510.0
2009-08-04,3803.061,3803.061,3712.431,3786.615,14103573900,205134118106.0
2009-08-05,3781.401,3789.127,3691.976,3740.936,13344445300,194012131121.0
2009-08-06,3707.907,3739.578,3602.575,3663.12,11810152500,178406415790.0
2009-08-07,3655.462,3686.543,3539.697,3555.095,10057575100,148656081457.0
2009-08-10,3589.716,3613.457,3485.364,3544.539,8487068100,126564928658.0
2009-08-11,3558.645,3569.15,3509.717,3556.375,6449719700,95318920590.0
2009-08-12,3546.5,3546.5,3390.361,3397.4,9253538600,131867958961.0
2009-08-13,3398.889,3448.862,3338.848,3440.82,8708180000,123584066605.0
2009-08-14,3437.951,3454.945,3334.729,3344.462,8824862700,126573245767.0
2009-08-17,3283.436,3319.804,3137.477,3140.271,9172390200,121242721313.0
2009-08-18,3110.708,3186.815,3083.203,3171.986,7734303500,100691271214.0
2009-08-19,3178.281,3183.007,2982.222,3014.568,8160402000,104778744883.0
2009-08-20,3021.251,3146.568,3021.251,3144.39,7951921600,107656322586.0
2009-08-21,3135.373,3221.166,3113.704,3203.624,8661680500,113910783483.0
2009-08-24,3222.397,3241.524,3178.856,3229.6,8041406800,110907923668.0
2009-08-25,3210.851,3210.851,3019.119,3109.83,9753013900,128446120873.0
2009-08-26,3082.68,3203.786,3065.463,3172.386,8203640400,109792468845.0
2009-08-27,3149.566,3212.27,3116.894,3156.301,8012520100,103604608420.0
2009-08-28,3152.037,3168.191,3030.731,3046.781,8401794600,108787276883.0
2009-08-31,3003.543,3003.543,2825.767,2830.271,8451731100,105568316049.0
2009-09-01,2804.584,2901.277,2795.486,2843.7,7053530600,87743214169.0
2009-09-02,2824.641,2904.786,2813.618,2890.926,6084338600,76293192942.0
2009-09-03,2898.449,3059.987,2892.649,3051.964,9315744700,118821388280.0
2009-09-04,3055.347,3099.385,3038.99,3077.142,8698471500,116181665634.0
2009-09-07,3097.789,3153.227,3078.126,3104.208,8279074000,113813192654.0
2009-09-08,3084.199,3170.967,3047.3,3170.967,8396563400,117969333590.0
2009-09-09,3188.311,3207.388,3143.739,3194.909,9119115500,131813702373.0
2009-09-10,3179.187,3204.124,3150.172,3162.914,6656600700,91467422572.0
2009-09-11,3152.815,3253.452,3152.689,3238.133,8068966000,108989361370.0
2009-09-14,3248.348,3298.905,3240.534,3293.394,8739388300,117064809248.0
2009-09-15,3298.81,3325.743,3264.949,3302.642,8709217700,116411498836.0
2009-09-16,3290.387,3296.94,3212.445,3258.236,8824448100,123641482344.0
2009-09-17,3274.582,3329.116,3274.582,3320.096,9133340400,125325999692.0
2009-09-18,3325.061,3330.432,3170.962,3199.689,10048840400,131631978332.0
2009-09-21,3163.512,3210.643,3090.607,3208.604,7280197400,99685177047.0
2009-09-22,3196.009,3237.217,3131.016,3131.026,7342510100,101633736512.0
2009-09-23,3130.142,3159.173,3041.415,3060.069,6601371600,89049563859.0
2009-09-24,3041.82,3122.055,2989.236,3080.926,6515210200,86891307312.0
2009-09-25,3057.106,3090.069,3028.407,3058.528,4582049200,60733021040.0
2009-09-28,3066.368,3088.081,2959.744,2972.643,4191835200,54593201741.0
2009-09-29,2975.531,2998.55,2923.926,2972.286,4593235200,56674417416.0
2009-09-30,2992.98,3033.738,2988.292,3004.805,4218452400,54803607410.0
2009-10-09,3078.753,3164.031,3071.27,3163.708,5687104000,76061663011.0
2009-10-12,3181.581,3193.59,3151.256,3151.632,5896196000,81562328647.0
2009-10-13,3144.022,3199.921,3140.498,3198.517,5071370400,68577125621.0
2009-10-14,3209.065,3276.553,3204.314,3227.399,8097812000,111183227114.0
2009-10-15,3258.546,3287.628,3227.088,3239.643,6056201000,85391959068.0
2009-10-16,3250.102,3268.425,3188.434,3241.709,5563625500,78892050311.0
2009-10-19,3238.848,3330.789,3231.807,3329.158,7768314300,113841454115.0
2009-10-20,3355.358,3379.63,3343.018,3377.574,8942627800,128508372174.0
2009-10-21,3375.027,3414.657,3358.55,3369.285,8348894000,117445160682.0
2009-10-22,3364.145,3381.145,3341.415,3347.32,6093658300,87978516122.0
2009-10-23,3354.984,3436.391,3354.984,3413.252,8672542900,120908995107.0
2009-10-26,3421.696,3432.895,3385.44,3414.239,6844252400,97800974844.0
2009-10-27,3384.294,3392.102,3314.323,3314.722,7420955100,105228807264.0
2009-10-28,3303.773,3337.167,3258.274,3329.327,6259484900,86228533019.0
2009-10-29,3265.186,3291.18,3239.005,3247.051,6130535400,84414939041.0
2009-10-30,3305.376,3329.54,3276.318,3280.372,6064706200,84226415461.0
2009-11-02,3205.835,3394.724,3198.309,3392.803,8198115800,110679455347.0
2009-11-03,3402.528,3447.481,3397.255,3435.425,8379109800,115935434869.0
2009-11-04,3443.517,3476.34,3415.216,3453.888,8606527300,117780698755.0
2009-11-05,3458.865,3471.83,3432.26,3464.318,8064778400,103539079575.0
2009-11-06,3491.075,3506.027,3474.364,3483.021,9219031500,124138421517.0
2009-11-09,3487.107,3495.887,3452.614,3495.788,7805090400,108916000934.0
2009-11-10,3520.395,3532.186,3501.499,3503.776,8430098700,116073645890.0
2009-11-11,3500.586,3514.829,3468.859,3495.674,7262632100,100494402438.0
2009-11-12,3506.952,3529.061,3487.68,3499.992,7996266100,106569499622.0
2009-11-13,3489.538,3518.894,3445.36,3518.722,9121017100,122356578945.0
2009-11-16,3541.053,3625.887,3541.053,3625.798,12315732300,170544813035.0
2009-11-17,3644.962,3649.422,3619.986,3628.354,9739136800,135058674684.0
2009-11-18,3633.851,3652.809,3612.794,3630.229,8922628300,119034890321.0
2009-11-19,3638.073,3653.899,3604.612,3642.437,9494009500,125514316335.0
2009-11-20,3630.576,3658.214,3597.306,3631.013,9475075100,127585253384.0
2009-11-23,3636.529,3666.27,3628.195,3665.509,9399094100,135750450821.0
2009-11-24,3680.746,3698.129,3538.858,3548.08,14756682200,203721992217.0
2009-11-25,3541.512,3630.301,3508.057,3629.629,11460232900,157030857712.0
2009-11-26,3635.79,3646.607,3472.948,3485.773,12788237900,180809383854.0
2009-11-27,3440.343,3480.931,3367.293,3382.51,8929468800,125775998834.0
2009-11-30,3415.077,3511.765,3415.077,3511.669,8441534100,117377393884.0
2009-12-01,3507.559,3566.78,3485.524,3560.831,10151863900,138002623609.0
2009-12-02,3578.869,3607.561,3570.287,3597.329,9805203300,138929251793.0
2009-12-03,3596.952,3603.122,3551.482,3590.876,8997857200,128562629236.0
2009-12-04,3581.627,3646.263,3530.058,3643.491,13413090100,188843990614.0
2009-12-07,3644.625,3672.798,3633.445,3668.832,9122554600,131991687622.0
2009-12-08,3670.807,3671.042,3590.941,3624.019,8294086400,118750858921.0
2009-12-09,3579.282,3603.696,3543.424,3554.478,6852150700,97091971849.0
2009-12-10,3579.826,3601.289,3544.901,3577.237,5756373800,81151398823.0
2009-12-11,3589.408,3614.952,3568.506,3575.02,5455091200,74282930261.0
2009-12-14,3572.531,3623.273,3495.639,3612.753,8378502100,113441731758.0
